date,year,quarter,month_number,month_name,year_month,week,day_name,is_weekend
2010-02-22,2010,Q1,2,Feb,2010-02,8,Mon,False
2010-02-23,2010,Q1,2,Feb,2010-02,8,Tue,False
2010-02-24,2010,Q1,2,Feb,2010-02,8,Wed,False
2010-02-25,2010,Q1,2,Feb,2010-02,8,Thu,False
2010-02-26,2010,Q1,2,Feb,2010-02,8,Fri,False
2010-02-27,2010,Q1,2,Feb,2010-02,8,Sat,True
2010-02-28,2010,Q1,2,Feb,2010-02,8,Sun,True
2010-03-01,2010,Q1,3,Mar,2010-03,9,Mon,False
2010-03-02,2010,Q1,3,Mar,2010-03,9,Tue,False
2010-03-03,2010,Q1,3,Mar,2010-03,9,Wed,False
2010-03-04,2010,Q1,3,Mar,2010-03,9,Thu,False
2010-03-05,2010,Q1,3,Mar,2010-03,9,Fri,False
2010-03-06,2010,Q1,3,Mar,2010-03,9,Sat,True
2010-03-07,2010,Q1,3,Mar,2010-03,9,Sun,True
2010-03-08,2010,Q1,3,Mar,2010-03,10,Mon,False
2010-03-09,2010,Q1,3,Mar,2010-03,10,Tue,False
2010-03-10,2010,Q1,3,Mar,2010-03,10,Wed,False
2010-03-11,2010,Q1,3,Mar,2010-03,10,Thu,False
2010-03-12,2010,Q1,3,Mar,2010-03,10,Fri,False
2010-03-13,2010,Q1,3,Mar,2010-03,10,Sat,True
2010-03-14,2010,Q1,3,Mar,2010-03,10,Sun,True
2010-03-15,2010,Q1,3,Mar,2010-03,11,Mon,False
2010-03-16,2010,Q1,3,Mar,2010-03,11,Tue,False
2010-03-17,2010,Q1,3,Mar,2010-03,11,Wed,False
2010-03-18,2010,Q1,3,Mar,2010-03,11,Thu,False
2010-03-19,2010,Q1,3,Mar,2010-03,11,Fri,False
2010-03-20,2010,Q1,3,Mar,2010-03,11,Sat,True
2010-03-21,2010,Q1,3,Mar,2010-03,11,Sun,True
2010-03-22,2010,Q1,3,Mar,2010-03,12,Mon,False
2010-03-23,2010,Q1,3,Mar,2010-03,12,Tue,False
2010-03-24,2010,Q1,3,Mar,2010-03,12,Wed,False
2010-03-25,2010,Q1,3,Mar,2010-03,12,Thu,False
2010-03-26,2010,Q1,3,Mar,2010-03,12,Fri,False
2010-03-27,2010,Q1,3,Mar,2010-03,12,Sat,True
2010-03-28,2010,Q1,3,Mar,2010-03,12,Sun,True
2010-03-29,2010,Q1,3,Mar,2010-03,13,Mon,False
2010-03-30,2010,Q1,3,Mar,2010-03,13,Tue,False
2010-03-31,2010,Q1,3,Mar,2010-03,13,Wed,False
2010-04-01,2010,Q2,4,Apr,2010-04,13,Thu,False
2010-04-02,2010,Q2,4,Apr,2010-04,13,Fri,False
2010-04-03,2010,Q2,4,Apr,2010-04,13,Sat,True
2010-04-04,2010,Q2,4,Apr,2010-04,13,Sun,True
2010-04-05,2010,Q2,4,Apr,2010-04,14,Mon,False
2010-04-06,2010,Q2,4,Apr,2010-04,14,Tue,False
2010-04-07,2010,Q2,4,Apr,2010-04,14,Wed,False
2010-04-08,2010,Q2,4,Apr,2010-04,14,Thu,False
2010-04-09,2010,Q2,4,Apr,2010-04,14,Fri,False
2010-04-10,2010,Q2,4,Apr,2010-04,14,Sat,True
2010-04-11,2010,Q2,4,Apr,2010-04,14,Sun,True
2010-04-12,2010,Q2,4,Apr,2010-04,15,Mon,False
2010-04-13,2010,Q2,4,Apr,2010-04,15,Tue,False
2010-04-14,2010,Q2,4,Apr,2010-04,15,Wed,False
2010-04-15,2010,Q2,4,Apr,2010-04,15,Thu,False
2010-04-16,2010,Q2,4,Apr,2010-04,15,Fri,False
2010-04-17,2010,Q2,4,Apr,2010-04,15,Sat,True
2010-04-18,2010,Q2,4,Apr,2010-04,15,Sun,True
2010-04-19,2010,Q2,4,Apr,2010-04,16,Mon,False
2010-04-20,2010,Q2,4,Apr,2010-04,16,Tue,False
2010-04-21,2010,Q2,4,Apr,2010-04,16,Wed,False
2010-04-22,2010,Q2,4,Apr,2010-04,16,Thu,False
2010-04-23,2010,Q2,4,Apr,2010-04,16,Fri,False
2010-04-24,2010,Q2,4,Apr,2010-04,16,Sat,True
2010-04-25,2010,Q2,4,Apr,2010-04,16,Sun,True
2010-04-26,2010,Q2,4,Apr,2010-04,17,Mon,False
2010-04-27,2010,Q2,4,Apr,2010-04,17,Tue,False
2010-04-28,2010,Q2,4,Apr,2010-04,17,Wed,False
2010-04-29,2010,Q2,4,Apr,2010-04,17,Thu,False
2010-04-30,2010,Q2,4,Apr,2010-04,17,Fri,False
2010-05-01,2010,Q2,5,May,2010-05,17,Sat,True
2010-05-02,2010,Q2,5,May,2010-05,17,Sun,True
2010-05-03,2010,Q2,5,May,2010-05,18,Mon,False
2010-05-04,2010,Q2,5,May,2010-05,18,Tue,False
2010-05-05,2010,Q2,5,May,2010-05,18,Wed,False
2010-05-06,2010,Q2,5,May,2010-05,18,Thu,False
2010-05-07,2010,Q2,5,May,2010-05,18,Fri,False
2010-05-08,2010,Q2,5,May,2010-05,18,Sat,True
2010-05-09,2010,Q2,5,May,2010-05,18,Sun,True
2010-05-10,2010,Q2,5,May,2010-05,19,Mon,False
2010-05-11,2010,Q2,5,May,2010-05,19,Tue,False
2010-05-12,2010,Q2,5,May,2010-05,19,Wed,False
2010-05-13,2010,Q2,5,May,2010-05,19,Thu,False
2010-05-14,2010,Q2,5,May,2010-05,19,Fri,False
2010-05-15,2010,Q2,5,May,2010-05,19,Sat,True
2010-05-16,2010,Q2,5,May,2010-05,19,Sun,True
2010-05-17,2010,Q2,5,May,2010-05,20,Mon,False
2010-05-18,2010,Q2,5,May,2010-05,20,Tue,False
2010-05-19,2010,Q2,5,May,2010-05,20,Wed,False
2010-05-20,2010,Q2,5,May,2010-05,20,Thu,False
2010-05-21,2010,Q2,5,May,2010-05,20,Fri,False
2010-05-22,2010,Q2,5,May,2010-05,20,Sat,True
2010-05-23,2010,Q2,5,May,2010-05,20,Sun,True
2010-05-24,2010,Q2,5,May,2010-05,21,Mon,False
2010-05-25,2010,Q2,5,May,2010-05,21,Tue,False
2010-05-26,2010,Q2,5,May,2010-05,21,Wed,False
2010-05-27,2010,Q2,5,May,2010-05,21,Thu,False
2010-05-28,2010,Q2,5,May,2010-05,21,Fri,False
2010-05-29,2010,Q2,5,May,2010-05,21,Sat,True
2010-05-30,2010,Q2,5,May,2010-05,21,Sun,True
2010-05-31,2010,Q2,5,May,2010-05,22,Mon,False
2010-06-01,2010,Q2,6,Jun,2010-06,22,Tue,False
